Eu _ a sobremesa.|trago
Ela _ o presente.|traz
Nós _ o lanche.|trazemos
Eles _ a bagagem.|trazem
Tu _ o livro.|trazes
Ele _ o documento.|traz
Vocês _ os materiais.|trazem
Eu _ o jantar.|trago
Elas _ a comida.|trazem
Nós _ as bebidas.|trazemos
Eu _ o almoço.|trago
Ela _ o convite.|traz
Nós _ as chaves.|trazemos
Eles _ a informação.|trazem
Tu _ o documento.|trazes
Ele _ o café.|traz
Vocês _ os documentos.|trazem
Eu _ a solução.|trago
Elas _ a bagagem.|trazem
Nós _ o livro.|trazemos
Eu _ a resposta.|trago
Ela _ a criança.|traz
Nós _ a revista.|trazemos
Eles _ a refeição.|trazem
Tu _ a informação.|trazes
Ele _ o livro.|traz
Vocês _ a solução.|trazem
Eu _ o carro.|trago
Elas _ os livros.|trazem
Nós _ o recado.|trazemos
Eles _ o lanche.|trazem
Tu _ a bagagem.|trazes
Ele _ a bagagem.|traz
Vocês _ a comida.|trazem
Eu _ a chave.|trago
Elas _ o convite.|trazem
Nós _ a bolsa.|trazemos
Eles _ a criança.|trazem
Tu _ o lanche.|trazes
Ele _ a bebida.|traz
Vocês _ os produtos.|trazem
Eu _ o livro.|trago
Elas _ a bebida.|trazem
Nós _ o presente.|trazemos
Eles _ os livros.|trazem
Tu _ o convite.|trazes
Ele _ o almoço.|traz
Vocês _ a bagagem.|trazem
