Eu _ a resposta.|sei
Ela _ a verdade.|sabe
Nós _ o caminho.|sabemos
Eles _ a solução.|sabem
Tu _ a história.|sabes
Ele _ o segredo.|sabe
Vocês _ as regras.|sabem
Eu _ a notícia.|sei
Elas _ a razão.|sabem
Nós _ o motivo.|sabemos
Eu _ o número.|sei
Ela _ a data.|sabe
Nós _ o endereço.|sabemos
Eles _ o caminho.|sabem
Tu _ a resposta.|sabes
Ele _ o resultado.|sabe
Vocês _ a lição.|sabem
Eu _ o segredo.|sei
Elas _ a solução.|sabem
Nós _ a resposta.|sabemos
Eu _ a verdade.|sei
Ela _ a informação.|sabe
Nós _ o que fazer.|sabemos
Eles _ a chave.|sabem
Tu _ o caminho.|sabes
Ele _ a explicação.|sabe
Vocês _ a história.|sabem
Eu _ o motivo.|sei
Elas _ o segredo.|sabem
Nós _ o resultado.|sabemos
Eles _ a resposta.|sabem
Tu _ a solução.|sabes
Ele _ o que fazer.|sabe
Vocês _ a verdade.|sabem
Eu _ a informação.|sei
Elas _ a lição.|sabem
Nós _ a explicação.|sabemos
Eles _ o número.|sabem
Tu _ a resposta.|sabes
Ele _ o endereço.|sabe
Vocês _ a data.|sabem
Eu _ a chave.|sei
Elas _ a informação.|sabem
Nós _ o segredo.|sabemos
Eles _ a lição.|sabem
Tu _ a verdade.|sabes
Ele _ a explicação.|sabe
Vocês _ a solução.|sabem
